word,information_gain,percentage_suicide,percentage_non_suicide
总分,0.00011178897091512763,11.11%,88.89%
慕斯,0.00015538158883587894,5.56%,94.44%
面积,0.0001626135074141999,13.33%,86.67%
电池,0.0001327799627189874,10.00%,90.00%
游记,0.0003079277293980276,3.23%,96.77%
大厦,0.00010721126215484933,14.29%,85.71%
店,0.007113849446866882,9.70%,90.30%
馒头,0.00045158397705624687,7.02%,92.98%
公园,0.0028519017146088066,5.49%,94.51%
花香,0.0006041285050588652,3.28%,96.72%
香气,0.00034537673767831567,5.13%,94.87%
指路,0.00032231193689680193,5.41%,94.59%
剪辑,0.00022053042733294337,9.38%,90.62%
烤鸭,0.00022013362968398287,7.14%,92.86%
蘑菇,0.00047380602651347914,4.00%,96.00%
宅家,0.0002748439846651518,8.11%,91.89%
校医院,0.00034537673767831567,5.13%,94.87%
迷人,0.00039179962166246973,4.65%,95.35%
泉州,0.00022362215420623777,11.11%,88.89%
冰淇淋,0.00040699086855700006,7.55%,92.45%
城,0.002757343771691456,22.32%,77.68%
炸毛,0.0006638555654107092,4.23%,95.77%
环球,0.00020982971762484315,9.68%,90.32%
大地,0.00021935843986409242,16.33%,83.67%
浪,0.0008973547745682042,31.88%,68.12%
美式,0.00020982971762484315,9.68%,90.32%
丽水,0.0001325640823636176,6.25%,93.75%
牡丹,0.00020982971762484315,9.68%,90.32%
喷雾,0.00011005057599799972,7.14%,92.86%
公演,9.893656110326887e-05,7.69%,92.31%
夹心,0.0001784372880713203,5.00%,95.00%
中路,0.0001784372880713203,5.00%,95.00%
优势,0.00015538158883587894,5.56%,94.44%
小王子,0.00012126417633873121,6.67%,93.33%
雅安,7.146853677597598e-05,14.29%,85.71%
花猫,0.00034375633138283845,2.94%,97.06%
光影,0.00015538158883587894,5.56%,94.44%
米苏,0.00011005057599799972,7.14%,92.86%
局,0.00013252165259858284,37.50%,62.50%
厨师,0.0001325640823636176,6.25%,93.75%
专,0.00011089386352169939,42.93%,57.07%
海盐,0.00012126417633873121,6.67%,93.33%
充值,8.7938745200411e-05,8.33%,91.67%
理工大学,0.00016688292196886945,5.26%,94.74%
全场,0.00014393951149838102,5.88%,94.12%
呼和浩特,0.00011005057599799972,7.14%,92.86%
铁路,0.00014393951149838102,5.88%,94.12%
收尾,0.00014393951149838102,5.88%,94.12%
明朗,0.00014393951149838102,5.88%,94.12%
校区,0.0017528440349831031,5.08%,94.92%
物,0.0010252217922865903,39.20%,60.80%
辣,0.005989634169272784,7.14%,92.86%
壁纸,0.00047402893066950114,6.78%,93.22%
晚餐,0.0005305216900151066,6.25%,93.75%
中式,0.0002651723737863154,6.25%,93.75%
拉面,0.0001325640823636176,6.25%,93.75%
店铺,0.00025384923830307216,6.45%,93.55%
台州,0.00029602253560290226,3.33%,96.67%
万达,0.00023132689088656289,6.90%,93.10%
动物园,0.000319094401521669,7.32%,92.68%
小吃,0.0007580849710413506,3.80%,96.20%
传统,0.00048389868196563324,7.81%,92.19%
街,0.0018361044889908529,20.00%,80.00%
蛋,0.004860321617063845,15.22%,84.78%
落日,0.0004627948233225654,6.90%,93.10%
韩国,0.00043197082317392166,5.88%,94.12%
茉莉,0.0002486270932928747,3.85%,96.15%
哈士奇,0.00017590004265877202,8.33%,91.67%
小橘,0.0001222284352211389,10.53%,89.47%
肠粉,9.893656110326887e-05,7.69%,92.31%
北,0.005497078148992363,15.80%,84.20%
永,6.863819286961892e-05,53.86%,46.14%
碱水,0.00011005057599799972,7.14%,92.86%
叔,0.00019113772956935726,29.06%,70.94%
美颜,0.0001325640823636176,6.25%,93.75%
垫子,9.893656110326887e-05,7.69%,92.31%
电视台,0.00011005057599799972,7.14%,92.86%
湛江,3.573144988444632e-05,14.29%,85.71%
师姐,0.000201684724976392,4.55%,95.45%
游,0.004159124925576463,21.27%,78.73%
黏人,0.00012126417633873121,6.67%,93.33%
咸,0.0011905806258288854,8.93%,91.07%
香,0.014704164944829512,4.51%,95.49%
羊肉,0.00026393479115249807,12.77%,87.23%
蛋黄,0.0004778079117460088,5.45%,94.55%
佛山,0.00035189033497262656,8.33%,91.67%
